word,tier
der Hund,1
die Katze,1
das Haus,1
der Apfel,1
das Brot,1
die Milch,1
das Wasser,1
der Tisch,1
die Tür,1
das Fenster,1
der Mann,1
die Frau,1
das Kind,1
der Tag,1
die Nacht,1
das Bett,1
der Stuhl,1
die Schule,1
das Auto,1
der Bus,1
die Straße,1
das Essen,1
der Kaffee,1
die Stadt,1
das Land,1
der Freund,1
die Familie,1
das Geld,1
der Morgen,1
die Hand,1
der Kopf,1
das Auge,1
die Arbeit,1
der Name,1
das Jahr,1
sein,1
haben,1
gehen,1
kommen,1
machen,1
essen,1
trinken,1
sehen,1
sagen,1
denken,1
schlafen,1
arbeiten,1
wohnen,1
heißen,1
sprechen,1
verstehen,1
brauchen,1
mögen,1
wollen,1
können,1
ich,1
du,1
er,1
sie,1
es,1
wir,1
ihr,1
Sie,1
mein,1
und,1
aber,1
oder,1
in,1
auf,1
mit,1
zu,1
von,1
nach,1
der,1
die,1
das,1
ein,1
eine,1
kein,1
keine,1
nicht,1
auch,1
sehr,1
hier,1
dort,1
jetzt,1
dann,1
immer,1
was,1
wer,1
wo,1
wie,1
wann,1
gut,1
groß,1
klein,1
alt,1
neu,1
